iter	Passed	Remaining
0	149	149575
1	152	76266
2	156	52078
3	160	39873
4	163	32528
5	166	27559
6	169	23999
7	171	21296
8	174	19203
9	177	17552
10	180	16203
11	183	15103
12	186	14138
13	190	13419
14	193	12733
15	196	12104
16	199	11539
17	203	11087
18	206	10672
19	210	10299
20	212	9929
21	215	9590
22	218	9261
23	220	8951
24	222	8679
25	224	8418
26	226	8180
27	229	7950
28	230	7726
29	232	7519
30	234	7322
31	236	7141
32	238	6979
33	240	6821
34	242	6679
35	244	6539
36	246	6408
37	248	6283
38	250	6172
39	252	6068
40	254	5964
41	257	5871
42	259	5778
43	261	5685
44	263	5596
45	265	5512
46	268	5435
47	270	5364
48	272	5296
49	275	5229
50	277	5163
51	279	5100
52	281	5035
53	284	4977
54	286	4924
55	288	4869
56	291	4817
57	293	4768
58	295	4715
59	298	4670
60	300	4627
61	302	4581
62	304	4532
63	306	4487
64	308	4441
65	310	4396
66	312	4354
67	314	4313
68	316	4272
69	318	4230
70	320	4191
71	322	4152
72	323	4113
73	325	4076
74	327	4043
75	330	4012
76	331	3978
77	334	3949
78	335	3915
79	337	3883
80	339	3855
81	341	3828
82	343	3800
83	345	3772
84	347	3744
85	349	3715
86	352	3694
87	354	3670
88	356	3645
89	358	3622
90	360	3598
91	362	3575
92	364	3553
93	366	3530
94	368	3507
95	369	3482
96	371	3460
97	373	3438
98	375	3415
99	377	3397
100	379	3378
101	381	3358
102	383	3338
103	385	3320
104	387	3299
105	389	3281
106	391	3264
107	393	3247
108	395	3230
109	397	3213
110	399	3196
111	401	3179
112	403	3163
113	405	3147
114	407	3132
115	409	3117
116	411	3106
117	413	3092
118	415	3079
119	418	3065
120	420	3053
121	422	3039
122	424	3027
123	426	3013
124	429	3003
125	430	2989
126	433	2976
127	435	2964
128	437	2951
129	439	2937
130	441	2927
131	443	2914
132	445	2901
133	447	2890
134	449	2878
135	451	2867
136	453	2856
137	455	2846
138	457	2836
139	459	2825
140	461	2814
141	463	2803
142	466	2795
143	468	2785
144	470	2775
145	472	2765
146	474	2753
147	476	2742
148	478	2733
149	480	2724
150	483	2717
151	485	2708
152	487	2698
153	489	2688
